list-id-m,12,80,4,2880,3527591,1224,8277
list-id-m,16,10,4,480,611873,1274,958
list-id-m,16,20,4,960,1315347,1370,8073
list-id-m,16,40,4,1920,2798324,1457,12271
list-id-m,16,80,4,3840,5181570,1349,14957
list-id-s,1,10,4,30,86732,2891,0
list-id-s,1,20,4,60,65887,1098,0
list-id-s,1,40,4,120,84340,702,0
list-id-s,1,80,4,240,147283,613,0
list-id-s,4,10,4,120,112106,934,0
list-id-s,4,20,4,240,128055,533,0
list-id-s,4,40,4,480,249573,519,0
list-id-s,4,80,4,960,531489,553,0
list-id-s,8,10,4,240,291512,1214,0
list-id-s,8,20,4,480,377289,786,0
list-id-s,8,40,4,960,899323,936,0
list-id-s,8,80,4,1920,1768199,920,0
list-id-s,12,10,4,360,306993,852,0
list-id-s,12,20,4,720,573005,795,0
list-id-s,12,40,4,1440,1167463,810,0
list-id-s,12,80,4,2880,2910373,1010,0
list-id-s,16,10,4,480,1635703,3407,0
list-id-s,16,20,4,960,495182,515,0
list-id-s,16,40,4,1920,1693294,881,0
list-id-s,16,80,4,3840,5664689,1475,0
list-i-m,12,32,1,1152,3237291,2810,20963
list-d-m,12,32,1,1152,3070832,2665,21260
list-il-m,12,32,1,1152,11132791,9663,58910
list-dl-m,12,32,1,1152,7340404,6371,42600
list-i-s,12,32,1,1152,1571530,1364,0
list-d-s,12,32,1,1152,833546,723,0
list-il-s,12,32,1,1152,11355262,9856,0
list-dl-s,12,32,1,1152,17147880,14885,0
list-none-none,1,1000,1,3000,3673702,1224,0
list-none-m,1,1000,1,3000,3951537,1317,36
list-none-m,2,1000,1,6000,22916034,3819,3819
list-none-m,4,1000,1,12000,82236383,6853,13699
list-none-m,8,1000,1,24000,365723224,15238,91951
list-none-m,12,1000,1,36000,1009474312,28040,276212
list-none-m,16,1000,1,48000,2532489556,52760,737370
list-none-m,24,1000,1,72000,2751569465,38216,703396
list-none-s,1,1000,1,3000,3934246,1311,0
list-none-s,2,1000,1,6000,10634495,1772,0
list-none-s,4,1000,1,12000,86896165,7241,0
list-none-s,8,1000,1,24000,446804509,18616,0
list-none-s,12,1000,1,36000,952554697,26459,0
list-none-s,16,1000,1,48000,1131985360,23583,0
list-none-s,24,1000,1,72000,1952536819,27118,0
list-none-m,1,1000,4,3000,1392836,464,37
list-none-m,2,1000,4,6000,10519113,1753,1023
