list-none-none,1,10,1,30,83912,2797,0
list-none-none,1,100,1,300,122538,408,0
list-none-none,1,1000,1,3000,3816684,1272,0
list-none-none,1,10000,1,30000,723704371,24123,0
list-none-none,1,20000,1,60000,-786221254,58479,0
list-none-none,2,10,1,60,146540,2442,0
list-none-none,2,100,1,600,680866,1134,0
list-none-none,2,1000,1,6000,34249841,5708,0
list-none-none,4,10,1,120,162697,1355,0
list-none-none,4,100,1,1200,1262192,1051,0
list-none-none,4,1000,1,12000,45915346,3826,0
list-none-none,8,10,1,240,245534,1023,0
list-none-none,8,100,1,2400,2465156,1027,0
list-none-none,8,1000,1,24000,67616492,2817,0
list-none-none,12,10,1,360,408755,1135,0
list-none-none,12,100,1,3600,6211565,1725,0
list-none-none,12,1000,1,36000,105849814,2940,0
list-i-none,2,2,1,12,135372,11281,0
list-i-none,2,4,1,24,140732,5863,0
list-i-none,2,8,1,48,86035,1792,0
list-i-none,2,16,1,96,141780,1476,0
list-i-none,2,32,1,192,177617,925,0
list-i-none,4,2,1,24,158843,6618,0
list-i-none,4,4,1,48,140893,2935,0
list-i-none,4,8,1,96,102037,1062,0
list-i-none,4,16,1,192,184995,963,0
list-i-none,8,2,1,48,258577,5387,0
list-i-none,8,4,1,96,6916184,72043,0
list-i-none,8,8,1,192,215578,1122,0
list-i-none,8,16,1,384,271681,707,0
list-i-none,12,2,1,72,385375,5352,0
list-i-none,12,4,1,144,348831,2422,0
list-i-none,12,8,1,288,293057,1017,0
list-i-none,12,16,1,576,409829,711,0
list-d-none,2,2,1,12,103398,8616,0
list-d-none,2,4,1,24,118548,4939,0
list-d-none,2,8,1,48,1086853,22642,0
list-d-none,2,16,1,96,156427,1629,0
list-d-none,2,32,1,192,221008,1151,0
list-d-none,4,2,1,24,124309,5179,0
list-d-none,4,4,1,48,162589,3387,0
list-d-none,4,8,1,96,163253,1700,0
list-d-none,4,16,1,192,195626,1018,0
list-d-none,8,2,1,48,241732,5036,0
list-d-none,8,4,1,96,233258,2429,0
list-d-none,8,8,1,192,234838,1223,0
list-d-none,8,16,1,384,235704,613,0
list-d-none,12,2,1,72,312631,4342,0
list-d-none,12,4,1,144,400699,2782,0
list-d-none,12,8,1,288,335369,1164,0
list-d-none,12,16,1,576,386828,671,0
list-il-none,2,2,1,12,79195,6599,0
list-il-none,2,4,1,24,134084,5586,0
list-il-none,2,8,1,48,100147,2086,0
list-il-none,2,16,1,96,208993,2177,0
